dialogue_id,condition,host_a_file,host_a_gender,host_a_accent,host_b_file,host_b_gender,host_b_accent
892,mixed,v0051.wav,male,american,v0050.wav,female,british
71,us_us,v0080.wav,male,american,v0027.wav,female,american
941,mixed,v0089.wav,female,american,v0050.wav,female,british
915,us_us,v0014.wav,female,american,v0047.wav,female,american
717,uk_uk,v0092.wav,male,british,v0017.wav,female,british
758,us_us,v0038.wav,female,american,v0062.wav,male,american
713,us_us,v0012.wav,male,american,v0027.wav,female,american
794,uk_uk,v0031.wav,male,british,v0000.wav,female,british
828,us_us,v0026.wav,male,american,v0044.wav,male,american
76,mixed,v0000.wav,female,british,v0043.wav,female,american
853,uk_uk,v0017.wav,female,british,v0050.wav,female,british
772,mixed,v0017.wav,female,british,v0080.wav,male,american
729,us_us,v0047.wav,female,american,v0014.wav,female,american
81,mixed,v0092.wav,male,british,v0090.wav,female,american
9132,mixed,v0085.wav,female,american,v0031.wav,male,british
841,mixed,v0000.wav,female,british,v0015.wav,female,american
701,us_us,v0051.wav,male,american,v0089.wav,female,american
7,uk_uk,v0031.wav,male,british,v0017.wav,female,british
918,mixed,v0062.wav,male,american,v0050.wav,female,british
96,us_us,v0038.wav,female,american,v0074.wav,male,american
738,uk_uk,v0050.wav,female,british,v0000.wav,female,british
832,us_us,v0089.wav,female,american,v0018.wav,male,american
692,mixed,v0092.wav,male,british,v0026.wav,male,american
845,uk_uk,v0050.wav,female,british,v0017.wav,female,british
9127,us_us,v0038.wav,female,american,v0062.wav,male,american
944,uk_uk,v0092.wav,male,british,v0017.wav,female,british
903,us_us,v0044.wav,male,american,v0051.wav,male,american
945,mixed,v0047.wav,female,american,v0031.wav,male,british
690,uk_uk,v0000.wav,female,british,v0031.wav,male,british
912,us_us,v0015.wav,female,american,v0074.wav,male,american
856,us_us,v0051.wav,male,american,v0062.wav,male,american
99,mixed,v0031.wav,male,british,v0074.wav,male,american
867,uk_uk,v0092.wav,male,british,v0031.wav,male,british
984,us_us,v0085.wav,female,american,v0044.wav,male,american
930,us_us,v0051.wav,male,american,v0043.wav,female,american
952,mixed,v0074.wav,male,american,v0031.wav,male,british
756,uk_uk,v0017.wav,female,british,v0092.wav,male,british
676,mixed,v0092.wav,male,british,v0015.wav,female,american
9128,mixed,v0043.wav,female,american,v0031.wav,male,british
786,mixed,v0031.wav,male,british,v0062.wav,male,american
989,us_us,v0080.wav,male,american,v0038.wav,female,american
910,mixed,v0014.wav,female,american,v0092.wav,male,british
93,mixed,v0047.wav,female,american,v0000.wav,female,british
889,us_us,v0062.wav,male,american,v0090.wav,female,american
9135,mixed,v0050.wav,female,british,v0015.wav,female,american
958,uk_uk,v0031.wav,male,british,v0000.wav,female,british
759,uk_uk,v0000.wav,female,british,v0017.wav,female,british
741,uk_uk,v0031.wav,male,british,v0000.wav,female,british
823,mixed,v0031.wav,male,british,v0018.wav,male,american
9133,us_us,v0047.wav,female,american,v0085.wav,female,american
813,us_us,v0089.wav,female,american,v0080.wav,male,american
755,mixed,v0074.wav,male,american,v0050.wav,female,british
854,us_us,v0026.wav,male,american,v0062.wav,male,american
698,mixed,v0017.wav,female,british,v0074.wav,male,american
963,us_us,v0080.wav,male,american,v0062.wav,male,american
683,uk_uk,v0050.wav,female,british,v0000.wav,female,british
895,mixed,v0000.wav,female,british,v0043.wav,female,american
851,us_us,v0018.wav,male,american,v0051.wav,male,american
959,us_us,v0038.wav,female,american,v0062.wav,male,american
873,uk_uk,v0017.wav,female,british,v0031.wav,male,british
816,us_us,v0062.wav,male,american,v0015.wav,female,american
838,uk_uk,v0031.wav,male,british,v0092.wav,male,british
928,us_us,v0012.wav,male,american,v0089.wav,female,american
736,uk_uk,v0017.wav,female,british,v0092.wav,male,british
681,uk_uk,v0000.wav,female,british,v0092.wav,male,british
877,uk_uk,v0050.wav,female,british,v0017.wav,female,british
788,us_us,v0090.wav,female,american,v0047.wav,female,american
860,uk_uk,v0031.wav,male,british,v0050.wav,female,british
995,uk_uk,v0017.wav,female,british,v0092.wav,male,british
9129,uk_uk,v0000.wav,female,british,v0031.wav,male,british
744,uk_uk,v0017.wav,female,british,v0092.wav,male,british
677,us_us,v0062.wav,male,american,v0089.wav,female,american
942,mixed,v0085.wav,female,american,v0050.wav,female,british
723,mixed,v0050.wav,female,british,v0012.wav,male,american
801,us_us,v0074.wav,male,american,v0062.wav,male,american
976,uk_uk,v0031.wav,male,british,v0000.wav,female,british
771,mixed,v0074.wav,male,american,v0092.wav,male,british
820,uk_uk,v0092.wav,male,british,v0000.wav,female,british
879,uk_uk,v0017.wav,female,british,v0031.wav,male,british
846,mixed,v0000.wav,female,british,v0085.wav,female,american
938,uk_uk,v0017.wav,female,british,v0031.wav,male,british
748,uk_uk,v0017.wav,female,british,v0031.wav,male,british
913,us_us,v0043.wav,female,american,v0085.wav,female,american
890,uk_uk,v0031.wav,male,british,v0000.wav,female,british
9125,us_us,v0051.wav,male,american,v0043.wav,female,american
732,uk_uk,v0017.wav,female,british,v0092.wav,male,british
842,us_us,v0074.wav,male,american,v0080.wav,male,american
837,uk_uk,v0017.wav,female,british,v0031.wav,male,british
807,mixed,v0000.wav,female,british,v0038.wav,female,american
991,us_us,v0089.wav,female,american,v0085.wav,female,american
